"NOME";"LAT";"LON"
"Acquasparta";"42.6912777";"12.5411111"
"Allerona";"42.8131123";"11.9740526"
"Alviano";"42.5884670";"12.2956939"
"Amelia";"42.5571739";"12.4134010"
"Arrone";"42.5837120";"12.7677530"
"Attigliano";"42.5167531";"12.2927461"
"Avigliano Umbro";"42.6514560";"12.4275410"
"Baschi";"42.6739259";"12.2189074"
"Calvi dell'Umbria";"42.4042407";"12.5687592"
"Castel Giorgio";"42.7065740";"11.9773518"
"Castel Viscardo";"42.7545555";"11.9995555"
"Fabro";"42.8722931";"12.0150586"
"Ferentillo";"42.6205540";"12.7870930"
"Ficulle";"42.8336204";"12.0671556"
"Giove";"42.5103148";"12.3317407"
"Guardea";"42.6229340";"12.2982350"
"Lugnano in Teverina";"42.5718940";"12.3304880"
"Montecastrilli";"42.6534444";"12.4895370"
"Montecchio";"42.6639623";"12.2880803"
"Montefranco";"42.5976430";"12.7658729"
"Montegabbione";"42.9225185";"12.0931481"
"Monteleone d'Orvieto";"42.9244529";"12.0579442"
"Narni";"42.5164860";"12.5266230"
"Orvieto";"42.7164699";"12.1115691"
"Otricoli";"42.4225000";"12.4782962"
"Parrano";"42.8673703";"12.1112592"
"Penna in Teverina";"42.4931296";"12.3586111"
"Polino";"42.5851670";"12.8428377"
"Porano";"42.6841186";"12.0990510"
"San Gemini";"42.6100000";"12.5440740"
"San Venanzo";"42.8703564";"12.2700730"
"Stroncone";"42.5032184";"12.6603199"
"Terni";"42.5602192";"12.6467812"
"Assisi";"43.0701666";"12.6175185"
"Bastia Umbra";"43.0679560";"12.5514500"
"Bettona";"43.0136814";"12.4854169"
"Bevagna";"42.9348703";"12.6093888"
"Campello sul Clitunno";"42.8203570";"12.7767780"
"Cannara";"42.9944289";"12.5828730"
"Cascia";"42.7176320";"13.0155550"
"Castel Ritaldi";"42.8228210";"12.6725820"
"Castiglione del Lago";"43.1281296";"12.0462592"
"Cerreto di Spoleto";"42.8207790";"12.9174430"
"Citerna";"43.4983680";"12.1159540"
"Città della Pieve";"42.9530510";"12.0035670"
"Città di Castello";"43.4608200";"12.2437700"
"Collazzone";"42.9012383";"12.4349556"
"Corciano";"43.1284330";"12.2862705"
"Costacciaro";"43.3617222";"12.7131296"
"Deruta";"42.9814074";"12.4161111"
"Foligno";"42.9450000";"12.7020370"
"Fossato di Vico";"43.2968792";"12.7596975"
"Fratta Todina";"42.8578302";"12.3646793"
"Giano dell'Umbria";"42.8335230";"12.5778269"
"Gualdo Cattaneo";"42.9100070";"12.5557140"
"Gualdo Tadino";"43.2302660";"12.7860880"
"Gubbio";"43.3554814";"12.5734444"
"Lisciano Niccone";"43.2477075";"12.1450425"
"Magione";"43.1450185";"12.2078148"
"Marsciano";"42.9104277";"12.3369648"
"Massa Martana";"42.7755640";"12.5240770"
"Monte Castello di Vibio";"42.8412592";"12.3525000"
"Monte Santa Maria Tiberina";"43.4370555";"12.1632962"
"Montefalco";"42.8936530";"12.6500570"
"Monteleone di Spoleto";"42.6518807";"12.9532902"
"Montone";"43.3623703";"12.3273518"
"Nocera Umbra";"43.1138980";"12.7884360"
"Norcia";"42.7942407";"13.0964259"
"Paciano";"43.0232340";"12.0693610"
"Panicale";"43.0294279";"12.1000627"
"Passignano sul Trasimeno";"43.1951666";"12.1303333"
"Perugia";"43.1107009";"12.3891720"
"Piegaro";"42.9702250";"12.0859750"
"Pietralunga";"43.4378333";"12.4322037"
"Poggiodomo";"42.7116614";"12.9328931"
"Preci";"42.8811571";"13.0383874"
"San Giustino";"43.5504814";"12.1745370"
"Sant'Anatolia di Narco";"42.7334016";"12.8356356"
"Scheggia e Pascelupo";"43.4045580";"12.6676085"
"Scheggino";"42.7130329";"12.8315542"
"Sellano";"42.8893800";"12.9275843"
"Sigillo";"43.3312605";"12.7422022"
"Spello";"42.9898150";"12.6719380"
"Spoleto";"42.7453344";"12.7384305"
"Todi";"42.7802296";"12.4084527"
"Torgiano";"43.0262110";"12.4365010"
"Trevi";"42.8767222";"12.7451666"
"Tuoro sul Trasimeno";"43.2086230";"12.0718250"
"Umbertide";"43.3065740";"12.3375000"
"Valfabbrica";"43.1595710";"12.6014040"
"Vallo di Nera";"42.7556296";"12.8650000"
"Valtopina";"43.0578333";"12.7540740"